parameter,test_id,direction,unit,source_status,current_limit,candidate_limit,delta_absolute,delta_percent,tighten_or_loosen
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,20.0,-5.0,-20.0,TIGHTER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,21.0,-4.0,-16.0,TIGHTER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,22.0,-3.0,-12.0,TIGHTER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,23.0,-2.0,-8.0,TIGHTER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,24.0,-1.0,-4.0,TIGHTER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,25.0,0.0,0.0,CURRENT
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,26.0,1.0,4.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,27.0,2.0,8.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,28.0,3.0,12.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,29.0,4.0,16.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,30.0,5.0,20.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,35.0,10.0,40.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,40.0,15.0,60.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,45.0,20.0,80.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,50.0,25.0,100.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,55.0,30.0,120.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,60.0,35.0,140.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,65.0,40.0,160.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,70.0,45.0,180.0,LOOSER
ir_drop,T_IR_DROP_MV,UPPER,mV,SOURCE_CONFIRMED,25.0,72.0,47.0,188.0,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,50.0,-10.0,-16.666666666666668,TIGHTER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,52.0,-8.0,-13.333333333333334,TIGHTER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,54.0,-6.0,-10.0,TIGHTER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,56.0,-4.0,-6.666666666666667,TIGHTER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,58.0,-2.0,-3.3333333333333335,TIGHTER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,60.0,0.0,0.0,CURRENT
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,61.0,1.0,1.6666666666666667,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,62.0,2.0,3.3333333333333335,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,63.0,3.0,5.0,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,64.0,4.0,6.666666666666667,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,65.0,5.0,8.333333333333334,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,70.0,10.0,16.666666666666668,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,75.0,15.0,25.0,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,80.0,20.0,33.333333333333336,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,85.0,25.0,41.666666666666664,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,90.0,30.0,50.0,LOOSER
thermal,T_THERMAL_C,UPPER,°C,SOURCE_CONFIRMED,60.0,92.0,32.0,53.333333333333336,LOOSER
