lot_id,die_id,parameter,candidate_limit,simulated_fail,proximity,source_status,die_max,die_min,selection_scope
DTL_CENTER_001,DTL_CENTER_001_D001,ir_drop,40.0,0,SAFE,FAIL,26.16240737316211,19.02660561496262,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D002,ir_drop,40.0,0,SAFE,FAIL,27.468012793558195,20.721413011552453,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D003,ir_drop,40.0,0,SAFE,PASS,23.396439805128363,18.65695004600497,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D001,ir_drop,40.0,0,SAFE,FAIL,25.85801624437544,20.88585822187521,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D002,ir_drop,40.0,0,SAFE,PASS,24.143204833831263,18.584124590650674,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D003,ir_drop,40.0,0,SAFE,FAIL,30.9881106490758,18.41146799261365,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D001,ir_drop,40.0,0,SAFE,FAIL,28.683466981977887,21.814857915187137,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D002,ir_drop,40.0,0,SAFE,FAIL,27.268251024108853,21.46554949298712,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D003,ir_drop,40.0,0,SAFE,FAIL,28.33166687716681,22.83479298944916,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D001,ir_drop,40.0,0,SAFE,FAIL,26.33377905544419,19.66426128577584,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D002,ir_drop,40.0,0,SAFE,FAIL,29.7705704573072,22.3681581879385,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D003,ir_drop,40.0,0,SAFE,FAIL,36.827518269429845,22.546163176271204,independent_selected
DTL_NORM_001,DTL_NORM_001_D001,ir_drop,40.0,0,SAFE,FAIL,31.25410695377535,25.474520627073343,independent_selected
DTL_NORM_001,DTL_NORM_001_D002,ir_drop,40.0,0,SAFE,PASS,23.890292109225825,19.268804432021494,independent_selected
DTL_NORM_001,DTL_NORM_001_D003,ir_drop,40.0,0,SAFE,PASS,24.725833164718964,19.70876089375228,independent_selected
DTL_NORM_002,DTL_NORM_002_D001,ir_drop,40.0,0,SAFE,PASS,24.591007425728417,20.026946527869185,independent_selected
DTL_NORM_002,DTL_NORM_002_D002,ir_drop,40.0,0,SAFE,FAIL,27.75642213309338,20.07989632057664,independent_selected
DTL_NORM_002,DTL_NORM_002_D003,ir_drop,40.0,0,SAFE,PASS,23.75328313721026,18.203077677978577,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D001,ir_drop,40.0,0,SAFE,FAIL,29.30663032859168,20.490605239617945,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D002,ir_drop,40.0,0,SAFE,FAIL,29.44822048818576,20.15051537998867,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D003,ir_drop,40.0,0,SAFE,FAIL,30.40333549665864,20.939868232473906,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D001,ir_drop,40.0,0,SAFE,FAIL,29.437291688984324,19.354767254301123,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D002,ir_drop,40.0,0,SAFE,FAIL,28.164731257636493,18.76601105622528,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D003,ir_drop,40.0,0,SAFE,FAIL,27.785250397721345,17.049324709281365,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D001,thermal,75.0,0,SAFE,FAIL,58.82827076831025,50.32659052372475,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D002,thermal,75.0,0,SAFE,FAIL,63.53161223000294,56.488438533067296,independent_selected
DTL_CENTER_001,DTL_CENTER_001_D003,thermal,75.0,0,SAFE,PASS,57.16484119482547,49.912752586205976,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D001,thermal,75.0,0,SAFE,FAIL,58.73969863370759,51.711037654589774,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D002,thermal,75.0,0,SAFE,PASS,55.667615953402006,48.77757583159208,independent_selected
DTL_CENTER_002,DTL_CENTER_002_D003,thermal,75.0,0,SAFE,FAIL,58.98062448963664,51.72972245921345,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D001,thermal,75.0,0,SAFE,FAIL,61.6554827375656,53.12407538121711,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D002,thermal,75.0,0,SAFE,FAIL,60.8488830717681,53.31283404715372,independent_selected
DTL_EDGE_001,DTL_EDGE_001_D003,thermal,75.0,0,SAFE,FAIL,61.6023778489894,53.97605542572632,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D001,thermal,75.0,0,SAFE,FAIL,59.49751492683018,51.3024010486241,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D002,thermal,75.0,0,SAFE,FAIL,67.12902325644134,53.70557060409947,independent_selected
DTL_EDGE_002,DTL_EDGE_002_D003,thermal,75.0,0,SAFE,FAIL,65.4059497458895,53.97405085985197,independent_selected
DTL_NORM_001,DTL_NORM_001_D001,thermal,75.0,0,SAFE,FAIL,63.76514450405272,56.79709131718304,independent_selected
DTL_NORM_001,DTL_NORM_001_D002,thermal,75.0,0,SAFE,PASS,56.579420816013865,49.0344895090588,independent_selected
DTL_NORM_001,DTL_NORM_001_D003,thermal,75.0,0,SAFE,PASS,56.72645488636386,50.28965153727968,independent_selected
DTL_NORM_002,DTL_NORM_002_D001,thermal,75.0,0,SAFE,PASS,55.12356916796123,48.41157338981815,independent_selected
DTL_NORM_002,DTL_NORM_002_D002,thermal,75.0,0,SAFE,FAIL,62.36499483756685,52.96541751250735,independent_selected
DTL_NORM_002,DTL_NORM_002_D003,thermal,75.0,0,SAFE,PASS,55.98696828698832,49.13444002578951,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D001,thermal,75.0,0,SAFE,FAIL,64.00328901368955,53.241861948098816,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D002,thermal,75.0,0,SAFE,FAIL,61.01620717743832,51.800234242520574,independent_selected
DTL_SCRATCH_001,DTL_SCRATCH_001_D003,thermal,75.0,0,SAFE,FAIL,62.87988547955596,54.19678905523259,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D001,thermal,75.0,0,SAFE,FAIL,61.254730181128416,49.3151885681572,independent_selected
DTL_SCRATCH_002,DTL_SCRATCH_002_D002,thermal,75.0,0,SAFE,FAIL,61.74721875385631,49.96963865087788,independent_selected
