parameter,test_id,direction,unit,source_status,current_limit,candidate_limit,delta_absolute,delta_percent,tighten_or_loosen
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.75,-0.09999999999999998,-11.76470588235294,TIGHTER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.78,-0.06999999999999995,-8.235294117647053,TIGHTER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.8,-0.04999999999999993,-5.882352941176462,TIGHTER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.82,-0.030000000000000027,-3.529411764705886,TIGHTER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.85,0.0,0.0,CURRENT
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.88,0.030000000000000027,3.529411764705886,LOOSER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.9,0.050000000000000044,5.882352941176476,LOOSER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.92,0.07000000000000006,8.235294117647067,LOOSER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,0.95,0.09999999999999998,11.76470588235294,LOOSER
VMIN,T_VMIN,UPPER,V,SYNTHETIC_ASSUMED,0.85,1.0,0.15000000000000002,17.647058823529413,LOOSER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.05,-0.09999999999999987,-8.695652173913032,LOOSER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.08,-0.06999999999999984,-6.086956521739117,LOOSER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.1,-0.04999999999999982,-4.347826086956506,LOOSER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.12,-0.029999999999999805,-2.608695652173896,LOOSER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.15,0.0,0.0,CURRENT
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.18,0.030000000000000027,2.6086956521739157,TIGHTER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.2,0.050000000000000044,4.347826086956526,TIGHTER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.22,0.07000000000000006,6.086956521739136,TIGHTER
VMAX,T_VMAX,LOWER,V,SYNTHETIC_ASSUMED,1.15,1.25,0.10000000000000009,8.695652173913052,TIGHTER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,30.0,-20.0,-40.0,TIGHTER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,35.0,-15.0,-30.0,TIGHTER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,40.0,-10.0,-20.0,TIGHTER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,45.0,-5.0,-10.0,TIGHTER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,50.0,0.0,0.0,CURRENT
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,55.0,5.0,10.0,LOOSER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,60.0,10.0,20.0,LOOSER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,70.0,20.0,40.0,LOOSER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,80.0,30.0,60.0,LOOSER
IDDQ,T_IDDQ,UPPER,uA,SYNTHETIC_ASSUMED,50.0,100.0,50.0,100.0,LOOSER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,90.0,-30.0,-25.0,TIGHTER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,100.0,-20.0,-16.666666666666668,TIGHTER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,110.0,-10.0,-8.333333333333334,TIGHTER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,120.0,0.0,0.0,CURRENT
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,130.0,10.0,8.333333333333334,LOOSER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,140.0,20.0,16.666666666666668,LOOSER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,150.0,30.0,25.0,LOOSER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,170.0,50.0,41.666666666666664,LOOSER
SUPPLY_CURRENT,T_SUPPLY_CURRENT,UPPER,mA,SYNTHETIC_ASSUMED,120.0,200.0,80.0,66.66666666666667,LOOSER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,3.5,-1.5,-30.0,TIGHTER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,4.0,-1.0,-20.0,TIGHTER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,4.5,-0.5,-10.0,TIGHTER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,5.0,0.0,0.0,CURRENT
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,5.5,0.5,10.0,LOOSER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,6.0,1.0,20.0,LOOSER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,7.0,2.0,40.0,LOOSER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,8.0,3.0,60.0,LOOSER
CONTACT_RESISTANCE,T_CONTACT_R,UPPER,ohm,SYNTHETIC_ASSUMED,5.0,10.0,5.0,100.0,LOOSER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,11.0,-4.0,-26.666666666666668,TIGHTER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,12.0,-3.0,-20.0,TIGHTER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,13.0,-2.0,-13.333333333333334,TIGHTER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,14.0,-1.0,-6.666666666666667,TIGHTER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,15.0,0.0,0.0,CURRENT
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,16.0,1.0,6.666666666666667,LOOSER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,18.0,3.0,20.0,LOOSER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,20.0,5.0,33.333333333333336,LOOSER
INTERCONNECT_RESISTANCE,T_INTERCONNECT_R,UPPER,ohm,SYNTHETIC_ASSUMED,15.0,25.0,10.0,66.66666666666667,LOOSER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,18.0,-7.0,-28.0,TIGHTER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,20.0,-5.0,-20.0,TIGHTER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,22.0,-3.0,-12.0,TIGHTER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,25.0,0.0,0.0,CURRENT
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,28.0,3.0,12.0,LOOSER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,30.0,5.0,20.0,LOOSER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,35.0,10.0,40.0,LOOSER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,40.0,15.0,60.0,LOOSER
ON_RESISTANCE,T_ON_R,UPPER,ohm,SYNTHETIC_ASSUMED,25.0,50.0,25.0,100.0,LOOSER
