domain,parameter,test_id,candidate_limit,current_limit,direction,unit,source_status,candidate_delta,candidate_delta_percent,tighten_or_loosen,total_dies,good_dies,violating_dies,simulated_yield,simulated_fail_rate,violation_rate,borderline_rate,risky_rate,false_fail_proxy,defective_proxy,objective_score,feasible,selection_status,die_policy,scope,notes
core,ir_drop,T_IR_DROP_MV,20.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-5.0,-20.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,-0.0062499999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,21.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-4.0,-16.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,-0.0062499999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,22.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-3.0,-12.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,-0.0062499999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,23.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-2.0,-8.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,-0.0062499999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,24.0,25.0,UPPER,mV,SOURCE_CONFIRMED,-1.0,-4.0,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,-0.0062499999999999995,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,25.0,25.0,UPPER,mV,SOURCE_CONFIRMED,0.0,0.0,CURRENT,24,2,22,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0,0.0,0.041666666666666664,0.016666666666666663,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,26.0,25.0,UPPER,mV,SOURCE_CONFIRMED,1.0,4.0,LOOSER,24,5,19,0.20833333333333334,0.7916666666666666,0.7916666666666666,0.16666666666666666,0.8,0.0,0.16666666666666666,0.07500000000000001,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,27.0,25.0,UPPER,mV,SOURCE_CONFIRMED,2.0,8.0,LOOSER,24,7,17,0.2916666666666667,0.7083333333333334,0.7083333333333334,0.125,0.42857142857142855,0.0,0.25,0.19166666666666668,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,28.0,25.0,UPPER,mV,SOURCE_CONFIRMED,3.0,12.0,LOOSER,24,10,14,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.20833333333333334,0.5,0.0,0.375,0.25,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,29.0,25.0,UPPER,mV,SOURCE_CONFIRMED,4.0,16.0,LOOSER,24,15,9,0.625,0.375,0.375,0.25,0.4,0.0,0.5833333333333334,0.425,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,30.0,25.0,UPPER,mV,SOURCE_CONFIRMED,5.0,20.0,LOOSER,24,17,7,0.7083333333333334,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.29411764705882354,0.0,0.6666666666666666,0.5416666666666667,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,35.0,25.0,UPPER,mV,SOURCE_CONFIRMED,10.0,40.0,LOOSER,24,23,1,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.043478260869565216,0.0,0.9166666666666666,0.925,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,40.0,25.0,UPPER,mV,SOURCE_CONFIRMED,15.0,60.0,LOOSER,24,24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,45.0,25.0,UPPER,mV,SOURCE_CONFIRMED,20.0,80.0,LOOSER,24,24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,50.0,25.0,UPPER,mV,SOURCE_CONFIRMED,25.0,100.0,LOOSER,24,24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
core,ir_drop,T_IR_DROP_MV,55.0,25.0,UPPER,mV,SOURCE_CONFIRMED,30.0,120.0,LOOSER,24,24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,1.0,True,,ANY_VIOLATION,independent,simulated_metric_yield ≠ source yield; borderline/risky are limit-proximity proxies (not reliability); defective_proxy = source_FAIL accepted (analysis only; default weight 0)
