domain,parameter,test_id,candidate_limit,current_limit,direction,unit,source_status,candidate_delta,candidate_delta_percent,tighten_or_loosen,total_dies,good_dies,violating_dies,simulated_yield,simulated_fail_rate,violation_rate,borderline_rate,risky_rate,worst_condition_yield,worst_condition_fail_rate,worst_condition_violation_rate,false_fail_proxy,defective_proxy,objective_score,feasible,missing_condition_dies,evaluated_conditions,selection_status,die_policy,scope,notes
parametric,VMIN,T_VMIN,0.75,0.85,UPPER,V,SYNTHETIC_ASSUMED,-0.09999999999999998,-11.76470588235294,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.78,0.85,UPPER,V,SYNTHETIC_ASSUMED,-0.06999999999999995,-8.235294117647053,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.8,0.85,UPPER,V,SYNTHETIC_ASSUMED,-0.04999999999999993,-5.882352941176462,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.82,0.85,UPPER,V,SYNTHETIC_ASSUMED,-0.030000000000000027,-3.529411764705886,TIGHTER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.85,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.0,0.0,CURRENT,24,0,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.88,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.030000000000000027,3.529411764705886,LOOSER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.9,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.050000000000000044,5.882352941176476,LOOSER,24,0,24,0.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.92,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.07000000000000006,8.235294117647067,LOOSER,24,1,23,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.041666666666666664,1.0,0.20833333333333334,0.7916666666666666,0.7916666666666666,0.0,0.041666666666666664,0.008333333333333331,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,0.95,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.09999999999999998,11.76470588235294,LOOSER,24,2,22,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.08333333333333333,0.016666666666666663,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
parametric,VMIN,T_VMIN,1.0,0.85,UPPER,V,SYNTHETIC_ASSUMED,0.15000000000000002,17.647058823529413,LOOSER,24,17,7,0.7083333333333334,0.2916666666666667,0.2916666666666667,0.625,0.8823529411764706,0.7916666666666666,0.20833333333333334,0.20833333333333334,0.0,0.7083333333333334,0.20833333333333337,True,0,4,,ANY_VIOLATION,independent,SYNTHETIC_ASSUMED limits; borderline/risk are proximity indicators (not reliability); source labels are observational proxies only.
