"lot_category","lot_id","die_id","sequence_id","production_month","parameter","parameter_display","current_limit","recommended_limit","max_eligible_simulated_yield","ml_score","ml_rank","model_used","decision","why_selected","observed_n","observed_mean","observed_min","observed_max"
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","ir_drop","IR_DROP_MV",25,50,1,0.8410208225250244,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 50.0 mV had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,23.080328426155297,21.04431038689244,25.620592130604365
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","thermal","THERMAL_C",60,92,1,0.9386199116706848,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 92.0 °C had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,53.94364234418225,50.63869135286955,59.67505516768742
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","VMIN","VMIN",0.85,1,0.9166666666666666,0.5213844776153564,1,"unified_parameter_gru_v1","RECOMMEND","1.0 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9166666666666666) (policy_reason='max_simulated_yield_selected').",4,0.8688685614439425,0.8486015803827575,0.9018425105019148
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","VMAX","VMAX",1.15,1.05,0.8333333333333334,0.16854286193847656,1,"unified_parameter_gru_v1","RECOMMEND","1.05 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.8333333333333334) (policy_reason='max_simulated_yield_selected').",4,1.1214922095894964,1.08158154809437,1.1736599530929033
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","IDDQ","IDDQ",50,100,1,0.8061591386795044,1,"unified_parameter_gru_v1","RECOMMEND","100.0 uA was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,54.81932655718028,50.45136614745931,59.59777114411763
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","SUPPLY_CURRENT","SUPPLY_CURRENT",120,200,1,1.0268712043762207,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 200.0 mA had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,110.22746058348481,105.56422285470792,120.48339916310732
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","CONTACT_RESISTANCE","CONTACT_RESISTANCE",5,10,1,0.9781398773193359,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 10.0 ohm had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,4.392516695723611,4.187635100873298,4.661539251578994
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","INTERCONNECT_RESISTANCE","INTERCONNECT_RESISTANCE",15,25,1,0.9203916788101196,1,"unified_parameter_gru_v1","RECOMMEND","25.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,14.426506457994712,13.376425050243366,15.793807624853695
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-01::DTL_NORM_001::DTL_NORM_001_D001","2026-01","ON_RESISTANCE","ON_RESISTANCE",25,50,1,0.9621875286102295,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 50.0 ohm had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,25.393274010178217,23.644739329197307,27.942480539958044
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","ir_drop","IR_DROP_MV",25,72,1,0.824392557144165,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 72.0 mV had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,28.188484931256536,25.474520627073343,31.25410695377535
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","thermal","THERMAL_C",60,92,1,0.9083572626113892,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 92.0 °C had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,60.2280250155987,56.79709131718304,63.76514450405272
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","VMIN","VMIN",0.85,1,0.5833333333333334,0.38601407408714294,1,"unified_parameter_gru_v1","RECOMMEND","1.0 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.5833333333333334) (policy_reason='max_simulated_yield_selected').",4,0.998932465510701,0.9904358367705494,1.0063573383537958
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","VMAX","VMAX",1.15,1.05,0.375,0.13686791062355042,1,"unified_parameter_gru_v1","RECOMMEND","1.05 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.375) (policy_reason='max_simulated_yield_selected').",4,1.0415775437026176,1.00092637490742,1.0804084387481576
