"parameter_display","production_month","current_limit","recommended_limit","max_eligible_simulated_yield","decision"
"IR_DROP_MV","2026-01",25,50,1,"RECOMMEND"
"THERMAL_C","2026-01",60,92,1,"RECOMMEND"
"VMIN","2026-01",0.85,1,0.9166666666666666,"RECOMMEND"
"VMAX","2026-01",1.15,1.05,0.8333333333333334,"RECOMMEND"
"IDDQ","2026-01",50,100,1,"RECOMMEND"
"SUPPLY_CURRENT","2026-01",120,200,1,"RECOMMEND"
"CONTACT_RESISTANCE","2026-01",5,10,1,"RECOMMEND"
"INTERCONNECT_RESISTANCE","2026-01",15,25,1,"RECOMMEND"
"ON_RESISTANCE","2026-01",25,50,1,"RECOMMEND"
"IR_DROP_MV","2026-02",25,72,1,"RECOMMEND"
"THERMAL_C","2026-02",60,92,1,"RECOMMEND"
"VMIN","2026-02",0.85,1,0.5833333333333334,"RECOMMEND"
"VMAX","2026-02",1.15,1.05,0.375,"RECOMMEND"
"IDDQ","2026-02",50,100,0.9583333333333334,"RECOMMEND"
"SUPPLY_CURRENT","2026-02",120,200,1,"RECOMMEND"
"CONTACT_RESISTANCE","2026-02",5,10,1,"RECOMMEND"
"INTERCONNECT_RESISTANCE","2026-02",15,25,1,"RECOMMEND"
"ON_RESISTANCE","2026-02",25,50,1,"RECOMMEND"
"IR_DROP_MV","2026-03",25,55,1,"RECOMMEND"
"THERMAL_C","2026-03",60,92,1,"RECOMMEND"
"VMIN","2026-03",0.85,1,0.7083333333333334,"RECOMMEND"
"VMAX","2026-03",1.15,1.05,0.2916666666666667,"RECOMMEND"
"IDDQ","2026-03",50,100,0.9583333333333334,"RECOMMEND"
"SUPPLY_CURRENT","2026-03",120,200,1,"RECOMMEND"
"CONTACT_RESISTANCE","2026-03",5,10,1,"RECOMMEND"
"INTERCONNECT_RESISTANCE","2026-03",15,25,0.9583333333333334,"RECOMMEND"
"ON_RESISTANCE","2026-03",25,50,1,"RECOMMEND"
